date,product,region,quantity,unit_price,revenue
2024-01-01,Headset,Asia,24,49.99,4299.8
2024-01-02,Monitor,South America,11,499.99,9072.91
2024-01-03,Keyboard,Asia,49,999.99,1200.86
2024-01-04,Headset,Europe,8,199.99,4976.99
2024-01-05,Tablet,South America,36,29.99,212.4
2024-01-06,Webcam,Europe,38,799.99,4739.74
2024-01-07,Keyboard,South America,40,799.99,657.4
2024-01-08,Keyboard,South America,20,499.99,1276.3
2024-01-09,Headset,North America,35,999.99,1263.51
2024-01-10,Phone,Europe,48,49.99,6527.18
2024-01-11,Tablet,Asia,25,49.99,7485.84
2024-01-12,Headset,Asia,35,799.99,5875.35
2024-01-13,Tablet,Europe,25,499.99,9625.51
2024-01-14,Tablet,Asia,29,199.99,3811.22
2024-01-15,Webcam,Asia,18,49.99,2928.55
2024-01-16,Keyboard,Europe,46,199.99,8699.13
2024-01-17,Monitor,South America,18,999.99,2313.6
2024-01-18,Webcam,Europe,2,49.99,9635.9
2024-01-19,Webcam,South America,35,49.99,220.33
2024-01-20,Tablet,Asia,16,99.99,9701.8
2024-01-21,Mouse,Asia,41,49.99,527.28
2024-01-22,Keyboard,Asia,36,29.99,8922.32
2024-01-23,Phone,North America,33,499.99,5324.24
2024-01-24,Webcam,South America,4,499.99,9930.35
2024-01-25,Monitor,North America,33,199.99,830.59
2024-01-26,Mouse,North America,14,999.99,5583.16
2024-01-27,Mouse,Europe,21,49.99,9696.1
2024-01-28,Phone,North America,48,29.99,5278.67
2024-01-29,Webcam,Europe,20,199.99,6331.05
2024-01-30,Monitor,Europe,8,99.99,6987.91
2024-01-31,Keyboard,North America,7,199.99,4599.96
2024-02-01,Laptop,South America,3,199.99,6312.82
2024-02-02,Monitor,South America,17,49.99,5884.71
2024-02-03,Phone,South America,33,99.99,9021.46
2024-02-04,Mouse,South America,48,199.99,549.92
2024-02-05,Keyboard,South America,12,29.99,2881.54
2024-02-06,Monitor,North America,22,29.99,9509.07
2024-02-07,Laptop,North America,22,499.99,8913.61
2024-02-08,Laptop,Asia,46,99.99,4611.0
2024-02-09,Tablet,South America,30,99.99,6239.31
